티커,시가,고가,저가,종가,거래량,거래대금,등락률,시장,시가총액,종목유형,종목명,기관합계_5일,외국인합계_5일,개인_5일,업종,스냅샷일자
005930,167200,189200,189200,189200,24120593,4412104000000,13.16,KOSPI,1119995500000000,stock,삼성전자,606110000000.0,-6884487123800.0,4582894874000.0,반도체와반도체장비,20260331
000660,807000,897000,897000,897000,3928538,3444480000000,11.15,KOSPI,639294000000000,stock,SK하이닉스,1261464461000.0,-3542421175000.0,2230038638000.0,반도체와반도체장비,20260331
005935,114000,127300,127300,127300,2710263,335653000000,11.67,KOSPI,103873600000000,stock,삼성전자우,-125056461500.0,-57918188900.0,187327007000.0,반도체와반도체장비,20260331
005380,445500,492000,492000,492000,799826,382726000000,10.44,KOSPI,100740800000000,stock,현대차,74916767500.0,-496517899000.0,417119854000.0,자동차,20260331
373220,394500,406500,406500,406500,244048,97766000000,3.04,KOSPI,95121000000000,stock,LG에너지솔루션,190557544500.0,121439300500.0,-237258527500.0,전기제품,20260331
207940,1504000,1586000,1586000,1586000,41274,63778000000,5.45,KOSPI,73417400000000,stock,삼성바이오로직스,21887995000.0,-11167783000.0,-16193006000.0,제약,20260331
012450,1249000,1339000,1339000,1339000,197157,259955000000,7.21,KOSPI,69043400000000,stock,한화에어로스페이스,56300887000.0,110580250000.0,-163443700000.0,우주항공과국방,20260331
402340,466500,507000,507000,507000,746653,370874000000,8.68,KOSPI,66968200000000,stock,SK스퀘어,-40848498000.0,-51333584000.0,86867230000.0,복합기업,20260331
034020,91800,99750,99750,99750,2620263,256768000000,8.66,KOSPI,63896000000000,stock,두산에너빌리티,-22604069200.0,-85757091200.0,108660816100.0,기계,20260331
000270,145200,156700,156700,156700,783634,120000000000,7.92,KOSPI,61177700000000,stock,기아,15766270400.0,-76886016900.0,60755294000.0,자동차,20260331
105560,141900,149800,149800,149800,1081640,160500000000,5.57,KOSPI,55853000000000,stock,KB금융,205212865000.0,-199622302300.0,-6106083500.0,은행,20260331
068270,197200,206000,206000,206000,380837,77436000000,4.46,KOSPI,47595900000000,stock,셀트리온,81718199000.0,26368581700.0,-105998926100.0,제약,20260331
329180,465000,449500,449500,449500,957989,424298000000,-3.33,KOSPI,47180100000000,stock,HD현대중공업,-23858358000.0,-49499345000.0,74006046000.0,조선,20260331
032830,210500,227500,227500,227500,264545,59712000000,8.08,KOSPI,45500000000000,stock,삼성생명,-5952237000.0,30606954500.0,-22268052500.0,생명보험,20260331
028260,253500,274500,274500,274500,350885,93970000000,8.28,KOSPI,44515400000000,stock,삼성물산,-50590920000.0,-66114205000.0,117901234500.0,복합기업,20260331
055550,87700,93600,93600,93600,936363,86779000000,6.73,KOSPI,44427600000000,stock,신한지주,123638126200.0,-112754761500.0,-11319145100.0,은행,20260331
042660,120200,127000,127000,127000,848754,106194000000,5.66,KOSPI,38914500000000,stock,한화오션,43850823600.0,-44306598700.0,-509811500.0,조선,20260331
006800,61600,67600,67600,67600,2902475,193464000000,9.74,KOSPI,37539400000000,stock,미래에셋증권,-19943771100.0,-56330261400.0,71202789100.0,증권,20260331
012330,378000,409000,409000,409000,230559,91739000000,8.2,KOSPI,37109600000000,stock,현대모비스,31026374000.0,15836062000.0,-46239166000.0,자동차부품,20260331
006400,408000,432250,432250,432250,583021,246816000000,5.94,KOSPI,34833100000000,stock,삼성SDI,137473637500.0,139581593500.0,-274696801500.0,전기제품,20260331
009150,407500,447000,447000,447000,502718,221906000000,9.69,KOSPI,33388100000000,stock,삼성전기,36086117500.0,-60669729000.0,20709857500.0,전자장비와기기,20260331
035420,201500,210500,210500,210500,443571,92526000000,4.47,KOSPI,33017500000000,stock,NAVER,5089900000.0,-7737993500.0,-5186942500.0,양방향미디어와서비스,20260331
267260,832000,915000,915000,915000,115315,104010000000,9.98,KOSPI,32983100000000,stock,HD현대일렉트릭,52652490000.0,-48607291000.0,-2220089000.0,전기장비,20260331
010130,1422000,1522000,1522000,1522000,20082,30336000000,7.03,KOSPI,31768700000000,stock,고려아연,-13277074000.0,-1830720000.0,14683308000.0,비철금속,20260331
086790,106600,113300,113300,113300,789480,88195000000,6.29,KOSPI,31534300000000,stock,하나금융지주,65360498700.0,-64531996300.0,-1008301300.0,은행,20260331
005490,332500,347000,347000,347000,269320,92259000000,4.36,KOSPI,28083700000000,stock,POSCO홀딩스,49356914500.0,14418286000.0,-62197386500.0,철강,20260331
015760,41650,43525,43525,43525,1646620,70754000000,4.5,KOSPI,27941500000000,stock,한국전력,-78078373700.0,8158271100.0,62347767550.0,전기유틸리티,20260331
009540,344000,378500,378500,378500,277368,101341000000,10.03,KOSPI,26787600000000,stock,HD한국조선해양,1661274000.0,-41540158500.0,40724201500.0,조선,20260331
042700,251000,274500,274500,274500,567830,151799000000,9.36,KOSPI,26163200000000,stock,한미반도체,59339862500.0,-165088849500.0,105661650000.0,반도체와반도체장비,20260331
298040,2456000,2688000,2688000,2688000,31857,83595000000,9.45,KOSPI,25064400000000,stock,효성중공업,64529768000.0,-21665214000.0,-41838867000.0,전기장비,20260331
272210,114100,130600,130600,130600,2404261,309703000000,14.46,KOSPI,24672900000000,stock,한화시스템,10108471500.0,59855499300.0,-68630641600.0,우주항공과국방,20260331
316140,32050,33150,33150,33150,1725979,56787000000,3.43,KOSPI,24334600000000,stock,우리금융지주,46372415250.0,-33268045050.0,-13308002000.0,은행,20260331
010120,718000,808000,808000,808000,135152,105884000000,12.53,KOSPI,24240000000000,stock,LS ELECTRIC,-38993230000.0,-47158360000.0,82242773000.0,전기장비,20260331
010140,24450,27350,27350,27350,5287668,140752000000,11.86,KOSPI,24068000000000,stock,삼성중공업,735890500.0,-83136372100.0,81885529050.0,조선,20260331
034730,301000,324500,324500,324500,148129,46826000000,7.81,KOSPI,23527100000000,stock,SK,13310362000.0,24441308500.0,-37385831000.0,석유와가스,20260331
051910,299000,313000,313000,313000,208747,64250000000,4.68,KOSPI,22095400000000,stock,LG화학,37612943000.0,39201210000.0,-75548241000.0,화학,20260331
035720,45800,48350,48350,48350,964694,45853000000,5.57,KOSPI,21407800000000,stock,카카오,-10693320600.0,20674025500.0,-10811065650.0,양방향미디어와서비스,20260331
000810,440500,457500,457500,457500,72900,32935000000,3.86,KOSPI,21050100000000,stock,삼성화재,25125596500.0,-43726939000.0,17228279000.0,손해보험,20260331
064350,169500,189300,189300,189300,632264,117612000000,11.68,KOSPI,20660600000000,stock,현대로템,67207869400.0,11233106000.0,-78237360000.0,우주항공과국방,20260331
267250,239000,248000,248000,248000,121305,29843000000,3.77,KOSPI,19590300000000,stock,HD현대,8323618500.0,9669292500.0,-17646437500.0,조선,20260331
138040,111400,115900,115900,115900,228026,26061000000,4.04,KOSPI,19587200000000,stock,메리츠금융지주,59852870100.0,-50863893300.0,-9432911200.0,증권,20260331
096770,108700,114300,114300,114300,237922,26798000000,5.15,KOSPI,19322700000000,stock,SK이노베이션,34475397600.0,9754231100.0,-43614689700.0,석유와가스,20260331
011200,19570,20350,20350,20350,1304165,26131000000,3.99,KOSPI,19194900000000,stock,HMM,-8247349850.0,1467796440.0,6730661710.0,해운사,20260331
003670,203500,212500,212500,212500,198198,41478000000,4.42,KOSPI,18901100000000,stock,포스코퓨처엠,60871797600.0,32749364700.0,-93484441300.0,화학,20260331
066570,105600,112900,112900,112900,503695,56234000000,6.91,KOSPI,18389900000000,stock,LG전자,2550364100.0,22703352000.0,-24444000900.0,전자제품,20260331
033780,159200,160600,160600,160600,234485,37112000000,0.88,KOSPI,18417100000000,stock,KT&G,32758883400.0,-20055042900.0,-12798469400.0,담배,20260331
047810,164700,188400,188400,188400,833090,153634000000,14.39,KOSPI,18364300000000,stock,한국항공우주,2424124900.0,2452993500.0,-4855556900.0,우주항공과국방,20260331
