티커,시가,고가,저가,종가,거래량,거래대금,등락률,시장,시가총액,종목유형,종목명,기관합계_5일,외국인합계_5일,개인_5일,업종,스냅샷일자
005930,167200,189600,189600,189600,31315774,5777259000000,13.4,KOSPI,1122363400000000,stock,삼성전자,744354748100.0,-7672623466600.0,5220580706200.0,반도체와반도체장비,20260401
000660,807000,893000,893000,893000,5290734,4666173000000,10.66,KOSPI,636443200000000,stock,SK하이닉스,867551307000.0,-4149702286000.0,3184911883000.0,반도체와반도체장비,20260401
005935,114000,127500,127500,127500,3336994,415697000000,11.84,KOSPI,104036800000000,stock,삼성전자우,-119503095200.0,-119875980500.0,243043557800.0,반도체와반도체장비,20260401
005380,445500,488000,488000,488000,970240,466133000000,9.54,KOSPI,99921800000000,stock,현대차,65025773500.0,-364822420000.0,301616903500.0,자동차,20260401
373220,394500,407000,407000,407000,343583,138376000000,3.17,KOSPI,95238000000000,stock,LG에너지솔루션,133259105500.0,64123039500.0,-135648028500.0,전기제품,20260401
207940,1504000,1572000,1572000,1572000,51951,80624000000,4.52,KOSPI,72769400000000,stock,삼성바이오로직스,32521592000.0,-10604717000.0,-26023644000.0,제약,20260401
012450,1249000,1333000,1333000,1333000,243803,322483000000,6.73,KOSPI,68734000000000,stock,한화에어로스페이스,10300243000.0,110647913000.0,-118506562000.0,우주항공과국방,20260401
402340,466500,501000,501000,501000,903541,449851000000,7.4,KOSPI,66175600000000,stock,SK스퀘어,-105158087500.0,-48403150500.0,150698096500.0,복합기업,20260401
034020,91800,99600,99600,99600,3400486,334673000000,8.5,KOSPI,63799900000000,stock,두산에너빌리티,48723827900.0,-43756371000.0,-6574767900.0,기계,20260401
000270,145200,155300,155300,155300,1053309,162015000000,6.96,KOSPI,60631100000000,stock,기아,51087681200.0,-32461865900.0,-19951342800.0,자동차,20260401
105560,141900,148300,148300,148300,1527197,226827000000,4.51,KOSPI,55293700000000,stock,KB금융,216392584200.0,-213045099900.0,-4290921100.0,은행,20260401
068270,197200,206000,206000,206000,500305,102056000000,4.46,KOSPI,47595900000000,stock,셀트리온,74640009400.0,18211516500.0,-90439628900.0,제약,20260401
329180,465000,451500,451500,451500,1116786,495715000000,-2.9,KOSPI,47390000000000,stock,HD현대중공업,-8909028000.0,-64466954000.0,74370762000.0,조선,20260401
032830,210500,227000,227000,227000,357797,80938000000,7.84,KOSPI,45400000000000,stock,삼성생명,4189806500.0,14836497000.0,-16694693000.0,생명보험,20260401
055550,87700,93300,93300,93300,1315972,122302000000,6.39,KOSPI,44285300000000,stock,신한지주,128792818000.0,-110030166600.0,-17016693300.0,은행,20260401
028260,253500,273000,273000,273000,460078,123859000000,7.69,KOSPI,44272100000000,stock,삼성물산,-57787589000.0,-57153830000.0,116567045000.0,복합기업,20260401
042660,120200,127000,127000,127000,1034575,129761000000,5.66,KOSPI,38914500000000,stock,한화오션,57760847700.0,-56075832100.0,-2928665400.0,조선,20260401
012330,378000,409000,409000,409000,279593,111763000000,8.2,KOSPI,37109600000000,stock,현대모비스,23063380000.0,6502177500.0,-29404276500.0,자동차부품,20260401
